Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Sampling Start,Sampling End,State,District,Location,Geo_Type,Resolution,Lat_1,Lon_1,Lat_2,Lon_2,Lat_3,Lon_3,Lat_4,Lon_4,Lat_5,Lon_5,Lat_6,Lon_6,Lat_7,Lon_7,Lat_8,Lon_8,Lat_9,Lon_9,Lat_10,Lon_10,Lat_11,Lon_11,Lat_12,Lon_12,Sources,,,,,,,,,,
156,34,48,Hut-scale trial of pyraclofos against malaria vectors in Malkangiri District of Orissa.,Sahu,1996,1991,1991,Orissa,Malkangiri,Kandhaguda village,Single,Point,18.4865,82.2963,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Malkangiri/Khairaput/Kandhaguda,,,,,,,,,,
159,35,49,"Ecological observations on the anopheline mosquitoes of Jalpaiguri Duars, West Bengal.",Nandi,1996,1989,1990,West Bengal,Jalpaiguri,Various,Polygon,Constructed,26.6216,89.4104,26.6508,89.3451,26.6442,89.2541,26.7991,88.9574,,,,,,,,,,,,,,,,,https://villageinfo.in/west-bengal/jalpaiguri/kalchini/uttar-mandabari.html,http://www.alipurduartourism.in/destination/kodalbasti/,https://villageinfo.in/west-bengal/jalpaiguri/falakata/umacharanpur.html,https://villageinfo.in/west-bengal/jalpaiguri/nagrakata/kalabari.html,,,,,,,
161,36,50,"Anopheles minimus: Its bionomics and role in the transmission of malaria in Assam, India",Dev,1996,1989,1990,Assam,Kamrup,Sonapur PHC,Single,Small Polygon,26.1175,91.7919,,,,,,,,,,,,,,,,,,,,,,,"Geonames with village names, #1 results taken",,,,,,,,,,
166,37,51,Field trial of cyfluthrin as an effective and safe insecitide for control of malaria vectors in tripe insecticide resistant areas,Yadava,1996,1988,1990,Gujarat/Maharashtra,Various,Various,2_Singles,Large Polygon,21.3412,74.6464,21.2304,74.7176,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Dhule/Shindkhede/Dhamane,http://www.onefivenine.com/india/villages/Dhule/Shindkhede/Vikharan,,,,,,,,,
175,38,52,"Seasonality of indoor resting anophelines in stone quarry area of District Allahabad, U.P.",Tiwari,1997,1991,1992,Uttar Pradesh,Allahabad,Shankargarh PHC,Single,Wide Area,25.182,81.615,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
176,39,53,"Seasonal prevalence of Anopheles dirus and malaria transmission in a forest fringed village of Assam, India.",Prakash,1997,1995,1996,Assam,Dibrugarh,Tengakhat PHC,Single,Point,27.5833,95.6833,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
195,40,54,"Studies on bionomics of Anopheles fluviatilis and its sibling species in Nainital district, U.P.",Shukla,1998,1992,1994,Uttar Pradesh,Nainital,Bhabar Villages,Single,Small Polygon,29.1379,79.6581,,,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Talla+Pachaunia,+Uttarakhand+263139,+India/@29.1203248,79.6920072,14.23z/data=!4m5!3m4!1s0x39a08c86a72cf197:0x97cfc6dbf67f9d4e!8m2!3d29.1205513!4d79.6993185 & can't find Nai Avadi. Not certain about the first one but it's vaguely in the right location. Just use the first village for now.",,,,,,,,,,
195,40,55,"Studies on bionomics of Anopheles fluviatilis and its sibling species in Nainital district, U.P.",Shukla,1998,1992,1994,Uttar Pradesh,Nainital,Terai Villages,2_Singles,Small Polygon,29.0228,79.3499,29.0878,79.2868,,,,,,,,,,,,,,,,,,,,,"https://www.google.co.uk/maps/place/Uttarakhand+263153,+India/@29.0228984,79.3499714,12z/data=!4m5!3m4!1s0x39a080117a2f70a1:0x11ac515d4bd965eb!8m2!3d29.0087308!4d79.391605 & https://www.wikivillage.in/pincode/mat-kota-pincode-263153/ for Matkota and https://www.google.co.uk/maps/place/Tilpuri+No2,+Uttarakhand+263160,+India/@29.0812585,79.3555404,11.79z/data=!4m5!3m4!1s0x390a7edc1ed2c971:0x2c17bf64e0160efe!8m2!3d29.0683687!4d79.3282481 for Tilpuri",,,,,,,,,,
210,41,56,Population dynamics of Anopheles culicifacies and malaria in the tribal area of Central India,Singh,1999,1993,1993,Madhya Pradesh,Mandla,Dungaria,Single,Wide Area,22.4677,80.5487,,,,,,,,,,,,,,,,,,,,,,,http://www.onefivenine.com/india/villages/Mandla/Bichhiya/Dungaria,,,,,,,,,,
221,42,57,"Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria ln forested hilly and deforested riverine ecosystems in northern Orissa, India",Nanda,2000,1992,1992,Orissa,Sundargarh,Birkera (couldn't locate Manko),Single,Point,22.133,84.799,,,,,,,,,,,,,,,,,,,,,,,Malaria Atlas Project,,,,,,,,,,
